usgs_id,ocean_class,dist_to_coast_km
iscgem611829874,transitional,157.431
iscgem611566084,continental,22.842
iscgem608811807,oceanic,660.221
iscgem608794662,continental,31.153
iscgem611829810,continental,14.482
iscgem608617680,oceanic,585.371
iscgem611829670,continental,1.785
iscgem609595544,continental,15.365
iscgem608588064,continental,3.457
iscgem611829637,continental,19.147
iscgem611829626,transitional,62.162
iscgem608556966,continental,6.768
iscgem610289055,continental,11.563
iscgem608555483,transitional,108.189
iscgem611829310,continental,21.773
iscgem613397458,continental,13.87
iscgem611829306,oceanic,311.376
iscgem608545133,oceanic,1285.713
iscgem611839145,transitional,51.738
iscgem608540950,continental,42.927
iscgem608619598,transitional,65.22
iscgem611839117,continental,44.728
iscgem611839113,continental,32.406
iscgem608520061,continental,30.192
iscgem608493945,transitional,70.385
iscgem611839036,transitional,111.307
iscgem608490750,transitional,68.41
iscgem608482495,transitional,61.129
iscgem611838975,transitional,91.612
iscgem611461544,oceanic,626.765
iscgem611838920,oceanic,1041.792
iscgem611838894,continental,21.708
iscgem608335592,continental,45.033
iscgem608334666,oceanic,1939.314
iscgem611838852,continental,11.517
iscgem611838834,continental,19.82
iscgem611838828,continental,18.167
iscgem612141888,continental,49.427
iscgem611838796,continental,41.48
iscgem611838766,oceanic,254.785
iscgem612141720,oceanic,483.682
iscgem612141669,transitional,89.929
iscgem612141578,transitional,61.251
iscgem608278395,continental,41.771
iscgem612141445,continental,0.793
iscgem612141385,oceanic,210.266
iscgem608169794,continental,14.044
iscgem608169793,oceanic,713.767
iscgem611838631,continental,47.321
iscgem608168789,continental,2.164
iscgem612140990,oceanic,304.132
iscgem608306892,oceanic,925.435
iscgem612128431,oceanic,1286.836
iscgem608117192,oceanic,1961.446
iscgem608114869,continental,5.224
iscgem612128092,continental,8.187
iscgem611838492,oceanic,204.957
iscgem611838494,transitional,58.65
iscgem608081959,oceanic,1516.329
iscgem608079035,oceanic,1011.242
iscgem612127051,continental,15.104
iscgem610982045,oceanic,699.718
iscgem608053212,oceanic,664.65
iscgem612296714,oceanic,650.508
iscgem612126642,transitional,53.561
iscgem612126344,continental,29.401
iscgem612296376,continental,1.9
iscgem612297195,transitional,74.624
iscgem611838313,transitional,60.578
iscgem611838315,continental,44.662
iscgem611838301,transitional,58.434
iscgem608023824,transitional,62.972
iscgem608022996,continental,22.71
iscgem611838290,transitional,51.324
iscgem608101119,continental,9.783
iscgem612180979,oceanic,1264.444
iscgem607926769,transitional,96.6
iscgem607926765,transitional,190.721
iscgem612089430,continental,26.799
iscgem607920682,transitional,67.645
iscgem607861850,oceanic,2133.913
iscgem610637893,oceanic,1931.398
iscgem611836729,continental,37.493
iscgem611836717,continental,18.292
iscgem610433581,continental,40.276
iscgem607860433,continental,7.282
iscgem611836705,continental,1.195
iscgem611836693,continental,32.328
iscgem607745130,transitional,54.071
iscgem607743131,continental,15.322
iscgem608098144,continental,9.828
iscgem610637528,continental,0.999
iscgem610637518,continental,3.587
iscgem608098025,continental,39.358
iscgem607743104,continental,35.073
iscgem611531714,continental,9.625
iscgem611836680,continental,19.455
iscgem607742160,transitional,58.694
iscgem607738244,transitional,66.457
iscgem607861556,oceanic,404.771
iscgem607677238,transitional,180.318
iscgem610636783,transitional,156.113
iscgem607726112,transitional,60.356
iscgem610636664,transitional,50.772
iscgem610636558,oceanic,282.373
iscgem610636326,continental,13.716
iscgem611836295,transitional,91.556
iscgem611836309,transitional,57.06
iscgem611836237,transitional,66.078
iscgem611836215,transitional,119.429
iscgem611836181,transitional,55.892
iscgem611836168,transitional,86.144
iscgem611836134,continental,15.687
iscgem611459998,oceanic,1720.231
iscgem611803311,transitional,115.541
iscgem607304048,transitional,56.451
iscgem611800925,oceanic,510.383
iscgem611800923,continental,35.223
iscgem607307843,transitional,85.401
iscgem607288602,transitional,185.408
iscgem608295904,transitional,50.735
iscgem610634927,oceanic,257.213
iscgem607273371,transitional,75.977
iscgem607269407,continental,20.501
iscgem610634789,transitional,102.581
iscgem607263633,oceanic,904.251
iscgem607261306,transitional,95.642
iscgem607281992,transitional,138.438
iscgem610588475,transitional,174.734
iscgem610588455,transitional,56.885
iscgem607254107,oceanic,2105.457
iscgem610588344,transitional,96.431
iscgem610588291,continental,18.995
iscgem609816808,oceanic,596.057
iscgem610588278,oceanic,624.247
iscgem607281870,transitional,112.645
iscgem607744335,continental,4.843
iscgem607285791,continental,26.835
iscgem610587977,continental,21.705
iscgem610587943,continental,27.176
iscgem607211055,oceanic,621.99
iscgem607260065,oceanic,706.529
iscgem607260012,oceanic,627.03
iscgem607208674,oceanic,711.895
iscgem607206280,continental,35.453
iscgem607203502,transitional,57.27
iscgem607188894,transitional,54.246
iscgem610587762,transitional,61.173
iscgem607263246,transitional,64.268
iscgem610587708,transitional,126.017
iscgem610587689,continental,19.05
iscgem611020952,transitional,77.317
iscgem610587248,transitional,100.015
iscgem606950944,transitional,102.839
iscgem611020873,transitional,91.797
iscgem610587229,continental,20.112
iscgem606858496,transitional,120.238
iscgem606858336,continental,5.848
iscgem611572454,transitional,68.534
iscgem606843606,continental,36.349
iscgem610586851,continental,18.966
iscgem606843704,oceanic,292.823
iscgem610586569,continental,26.116
